ref_area.label,indicator.label,source.label,sex.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Total,2018,9.6,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Male,2018,12.78,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Female,2018,5.93,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Total,2019,7.92,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Male,2019,9.96,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Share of temporary employees by sex (%),ALB - LFS - Labour Force Survey,Sex: Female,2019,5.58,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,Share of temporary employees by sex (%),ARE - LFS - Labour force survey,Sex: Total,2017,0.36,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,Share of temporary employees by sex (%),ARE - LFS - Labour force survey,Sex: Male,2017,0.22,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,Share of temporary employees by sex (%),ARE - LFS - Labour force survey,Sex: Female,2017,0.98,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,Share of temporary employees by sex (%),ARE - LFS - Labour force survey,Sex: Total,2018,1.19,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,Share of temporary employees by sex (%),ARE - LFS - Labour force survey,Sex: Male,2018,1.01,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,Share of temporary employees by sex (%),ARE - LFS - Labour force survey,Sex: Female,2018,1.97,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,Share of temporary employees by sex (%),ARE - LFS - Labour force survey,Sex: Total,2019,1.37,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,Share of temporary employees by sex (%),ARE - LFS - Labour force survey,Sex: Male,2019,0.88,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,Share of temporary employees by sex (%),ARE - LFS - Labour force survey,Sex: Female,2019,2.92,,,Repository: ILO-STATISTICS - Micro data processing
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,2010,9.17,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,2010,10.7,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,2010,7.21,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,2011,9.42,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,2011,10.94,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,2011,7.44,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,2012,9.25,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,2012,10.75,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,2012,7.34,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,2013,8.97,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,2013,10.66,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,2013,6.81,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,2014,9.5,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,2014,11.06,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,2014,7.5,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,2017,9.44,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,2017,11.46,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,2017,6.96,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,2018,10.28,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,2018,12.25,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,2018,7.9,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,2019,10.23,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,2019,12.22,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Share of temporary employees by sex (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,2019,7.83,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Armenia,Share of temporary employees by sex (%),ARM - LFS - Household Labour Force Survey,Sex: Total,2014,6.2,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - LFS - Household Labour Force Survey,Sex: Male,2014,8.85,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - LFS - Household Labour Force Survey,Sex: Female,2014,3.2,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - LFS - Household Labour Force Survey,Sex: Total,2015,5.15,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - LFS - Household Labour Force Survey,Sex: Male,2015,6.87,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - LFS - Household Labour Force Survey,Sex: Female,2015,3.24,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - LFS - Household Labour Force Survey,Sex: Total,2016,3.58,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - LFS - Household Labour Force Survey,Sex: Male,2016,4.72,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - LFS - Household Labour Force Survey,Sex: Female,2016,2.35,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - LFS - Household Labour Force Survey,Sex: Total,2017,3.32,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - LFS - Household Labour Force Survey,Sex: Male,2017,4.44,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - LFS - Household Labour Force Survey,Sex: Female,2017,2.15,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - LFS - Household Labour Force Survey,Sex: Total,2018,10.85,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - LFS - Household Labour Force Survey,Sex: Male,2018,13.55,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - LFS - Household Labour Force Survey,Sex: Female,2018,8.08,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Total,2010,11.28,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Male,2010,15.64,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Female,2010,4.84,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Total,2011,23.78,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Male,2011,28.69,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Female,2011,17.66,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Total,2012,18.1,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Male,2012,20.99,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Female,2012,14.67,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Total,2013,8.35,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Male,2013,10.92,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Share of temporary employees by sex (%),ARM - HIES - Households' Integrated Living Conditions Survey,Sex: Female,2013,5.01,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Total,2010,9.35,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Male,2010,9.78,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Female,2010,8.88,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Total,2011,9.53,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Male,2011,9.63,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Female,2011,9.43,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Total,2012,9.29,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Male,2012,9.26,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Female,2012,9.33,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Total,2013,9.23,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Male,2013,9.42,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Female,2013,9.02,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Total,2014,9.14,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Male,2014,9.15,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Female,2014,9.12,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Total,2015,9.06,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Male,2015,9.08,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Female,2015,9.04,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Total,2016,8.99,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Male,2016,8.9,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Female,2016,9.09,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Total,2017,9.18,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Male,2017,9.21,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Female,2017,9.16,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Total,2018,9.07,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Male,2018,8.82,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Female,2018,9.33,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Total,2019,8.69,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Male,2019,8.56,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Austria,Share of temporary employees by sex (%),AUT - LFS - EU Labour Force Survey,Sex: Female,2019,8.83,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Burundi,Share of temporary employees by sex (%),BDI - HIES - Enquête sur les conditions de vie des ménages,Sex: Total,2014,76.2,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old
Burundi,Share of temporary employees by sex (%),BDI - HIES - Enquête sur les conditions de vie des ménages,Sex: Male,2014,80.3,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old
Burundi,Share of temporary employees by sex (%),BDI - HIES - Enquête sur les conditions de vie des ménages,Sex: Female,2014,63.36,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old
Belgium,Share of temporary employees by sex (%),BEL - LFS - EU Labour Force Survey,Sex: Total,2010,8.12,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Belgium,Share of temporary employees by sex (%),BEL - LFS - EU Labour Force Survey,Sex: Male,2010,6.77,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Belgium,Share of temporary employees by sex (%),BEL - LFS - EU Labour Force Survey,Sex: Female,2010,9.62,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Belgium,Share of temporary employees by sex (%),BEL - LFS - EU Labour Force Survey,Sex: Total,2011,8.96,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Belgium,Share of temporary employees by sex (%),BEL - LFS - EU Labour Force Survey,Sex: Male,2011,7.72,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Belgium,Share of temporary employees by sex (%),BEL - LFS - EU Labour Force Survey,Sex: Female,2011,10.34,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Belgium,Share of temporary employees by sex (%),BEL - LFS - EU Labour Force Survey,Sex: Total,2012,8.14,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Belgium,Share of temporary employees by sex (%),BEL - LFS - EU Labour Force Survey,Sex: Male,2012,7.1,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Belgium,Share of temporary employees by sex (%),BEL - LFS - EU Labour Force Survey,Sex: Female,2012,9.28,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Belgium,Share of temporary employees by sex (%),BEL - LFS - EU Labour Force Survey,Sex: Total,2013,8.21,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Belgium,Share of temporary employees by sex (%),BEL - LFS - EU Labour Force Survey,Sex: Male,2013,7.28,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
Belgium,Share of temporary employees by sex (%),BEL - LFS - EU Labour Force Survey,Sex: Female,2013,9.21,,Working time arrangement coverage: Full-time and part time workers,Repository: Eurostat special tabulation
