ref_area.label,indicator.label,source.label,classif1.label,time,obs_value,note_indicator.label,note_source.label
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2014,18.68,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2015,19.28,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2015,19.76,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2016,24.02,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2016,24.14,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2017,22.65,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2017,22.65,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2018,31.6,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2018,29.25,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2019,41.34,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ALB - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2019,34.11,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARE - LFS - Labour force survey,Occupation (Managerial positions): Total management,2016,14.57,,Age coverage - maximum age: 65 years old
United Arab Emirates,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARE - LFS - Labour force survey,Occupation (Managerial positions): Senior and middle management,2017,12.17,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARE - LFS - Labour force survey,Occupation (Managerial positions): Total management,2017,12.47,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARE - LFS - Labour force survey,Occupation (Managerial positions): Senior and middle management,2018,15.75,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARE - LFS - Labour force survey,Occupation (Managerial positions): Total management,2018,15.78,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARE - LFS - Labour force survey,Occupation (Managerial positions): Total management,2019,21.51,,Repository: ILO-STATISTICS - Micro data processing
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Senior and middle management,2010,32.14,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Total management,2010,29.85,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Senior and middle management,2011,30.15,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Total management,2011,28.02,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Senior and middle management,2012,32.34,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Total management,2012,30.4,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Senior and middle management,2013,36.49,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Total management,2013,30.26,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Senior and middle management,2014,38.64,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Total management,2014,30.62,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Senior and middle management,2017,32.63,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Total management,2017,31.61,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Senior and middle management,2018,33.18,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Total management,2018,32.56,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Senior and middle management,2019,33.14,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (Managerial positions): Total management,2019,31.6,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Armenia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARM - LFS - Household Labour Force Survey,Occupation (Managerial positions): Total management,2014,32.39,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARM - LFS - Household Labour Force Survey,Occupation (Managerial positions): Total management,2015,29.07,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARM - LFS - Household Labour Force Survey,Occupation (Managerial positions): Total management,2016,29.52,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARM - LFS - Household Labour Force Survey,Occupation (Managerial positions): Total management,2017,28.71,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARM - LFS - Household Labour Force Survey,Occupation (Managerial positions): Total management,2018,25.84,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARM - HIES - Households' Integrated Living Conditions Survey,Occupation (Managerial positions): Total management,2013,28.8,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),ARM - PC - Population census,Occupation (Managerial positions): Total management,2011,31.65,,Data reference period: October | Population coverage: Excluding armed forces and/or conscripts | Age coverage - maximum age: 75 years old
Australia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUS - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2010,34.41,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUS - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2011,36.11,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUS - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2012,35.74,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUS - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2013,35.83,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUS - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2014,36.32,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUS - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2015,37.69,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUS - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2016,36.74,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUS - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2017,38.65,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUS - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2018,37.8,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2010,25.42,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2010,28.92,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2011,26.07,Break in series: Methodology revised,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2011,27.5,Break in series: Methodology revised,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2012,27.13,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2012,30.08,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2013,26.33,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2013,29.35,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2014,27.85,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2014,30.31,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2015,27.88,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2015,29.68,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2016,29.52,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2016,31.79,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2017,29.19,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2017,31.8,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2018,28.86,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2018,31.59,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2019,32.01,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AUT - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2019,33.24,,Repository: Eurostat special tabulation
Azerbaijan,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AZE - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2010,25.52,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AZE - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2011,32.8,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AZE - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2012,34.2,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AZE - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2013,32.99,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AZE - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2014,34.54,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AZE - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2015,35.06,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AZE - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2016,34.86,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AZE - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2017,34.49,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AZE - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2018,38.07,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),AZE - LFS - Labour Force Survey,Occupation (Managerial positions): Total management,2019,35.81,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Burundi,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BDI - HIES - Enquête sur les conditions de vie des ménages,Occupation (Managerial positions): Total management,2014,27.36,,Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old
Burundi,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BDI - HIES - Enquête sur les conditions de vie des ménages,Occupation (Managerial positions): Total management,2017,32.36,,Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2010,34.77,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2010,34.1,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2011,30.45,Break in series: Methodology revised,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2011,29.9,Break in series: Methodology revised,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2012,31.67,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2012,32.44,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2013,30.75,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2013,31.42,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2014,31.3,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2014,31.65,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2015,31.04,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2015,32.56,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2016,31.98,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2016,32.66,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2017,32.91,Break in series: Methodology revised,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2017,33.55,Break in series: Methodology revised,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2018,33.45,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2018,33.91,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2019,31.88,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BEL - LFS - EU Labour Force Survey,Occupation (Managerial positions): Total management,2019,32.7,,Repository: Eurostat special tabulation
Burkina Faso,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BFA - LFS - Enquête Régionale Intégrée sur l'Emploi et le Secteur Informel,Occupation (Managerial positions): Senior and middle management,2018,23.95,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 75 years old
Burkina Faso,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BFA - LFS - Enquête Régionale Intégrée sur l'Emploi et le Secteur Informel,Occupation (Managerial positions): Total management,2018,58.11,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 75 years old
Bangladesh,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),BGD - LFS - Labour Force Survey,Occupation (Managerial positions): Senior and middle management,2010,10.04,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
